RefDes,Side,LocationX (Mil),LocationY (Mil),Rotation,Package,Value
P241,top,1231.1023622047244,4700.0,270,40-pin Dual Row 2.54 mm Pitch Male Shrouded Box Header,
J57,top,1831.1023622047244,3102.5590551181103,270,VIA_1MM_1.6MM,
U440,top,1884.251968503937,3242.1335433070867,0,SOT23-5,
C7,top,4122.047244094489,3088.779527559055,0,0603,
R30,top,417.18141732283465,1389.9326377952757,180,0603,10 kΩ
R2,top,1109.1729133858269,939.580905511811,270,0603 (1608 metric),75KOhm
J60,top,531.1023228346456,3200.5905511811025,270,"0603+0.1""TH-VIA(1,1.6mm)x2",
UPOT_0_0-7,top,1845.4724409448818,3522.6377952755906,90,SOIC 16,
J74,top,2075.4920472440945,4844.389724409449,0,"0603+0.1""TH-VIA(1,1.6mm)x2",
P225,top,5511.811023622047,1771.6535433070867,0,BELIEVOTRON-PAD-CAP,
PC2_3,top,4724.4094488188975,2559.0551181102364,0,BELIEVOTRON-PAD-CAP,
LED_2_1,top,3031.496062992126,4619.881889763779,0,5050,
F2,top,319.47405511811024,3555.69468503937,0,0603 (1608 Metric),
LED_0_5,top,6181.102362204724,3045.0787401574803,0,5050,
JP0,top,1968.5039370078741,500.0,0,VIA_1MM_1.6MM,
J114,top,3451.771653543307,1665.3543307086613,0,VIA_1MM_1.6MM,
J84,top,281.1023622047244,4548.228346456693,0,VIA_1MM_1.6MM,
C46,top,2023.5765748031497,3284.033582677165,0,0603,
LED_0_2,top,3818.8976377952754,3045.0787401574803,0,5050,
J104,top,1041.0,2735.236220472441,0,VIA_1MM_1.6MM,
J125,top,1904.5275590551182,3073.818897637795,0,VIA_1MM_1.6MM,
J81,top,1781.1023622047244,4560.03937007874,0,VIA_1MM_1.6MM,
J86,top,218.89763779527559,1300.196811023622,270,"0603+0.1""TH-VIA(1,1.6mm)x2",
C37,top,8310.615944881889,4139.356102362205,270,0603,
J9,top,334.6456692913386,1187.4015748031495,90,"0603+0.1""TH-VIA(1,1.6mm)x2",
J20,top,8099.4094488188975,3932.8740157480315,270,"0603+0.1""TH-VIA(1,1.6mm)x2",
LED_0_6,top,6970.472440944882,3045.2755905511813,0,5050,
J50,top,118.11023622047244,4750.0,90,TH,
J120,top,8206.692913385827,2060.0393700787404,0,VIA_1MM_1.6MM,
JP9,top,1968.5039370078741,1300.0,0,VIA_1MM_1.6MM,
LED3_1,top,1456.6929133858268,3045.0787401574803,0,5050,
PC2_5,top,6299.212598425197,2559.0551181102364,0,BELIEVOTRON-PAD-CAP,
PC2_7,top,7874.0157480314965,2559.0551181102364,0,BELIEVOTRON-PAD-CAP,
J107,top,4151.574803149606,2831.6929133858266,0,VIA_1MM_1.6MM,
RP_1_7,top,7736.0157480314965,4330.708661417323,270,Through Hole,
J42,top,230.31496062992127,2199.212598425197,270,"0603+0.1""TH-VIA(1,1.6mm)x2",
R5,top,1107.7809842519684,1392.7958267716535,270,0603,10 kΩ
JP6,top,1968.5039370078741,1000.0,0,VIA_1MM_1.6MM,
J32,top,1529.4716141732283,3402.5590157480315,0,"0603+0.1""TH-VIA(1,1.6mm)x2",
LED_2_6,top,6968.503937007874,4619.881889763779,0,5050,
J14,top,2752.952755905512,3876.181102362205,180,"0603+0.1""TH-VIA(1,1.6mm)x2",
J121,top,2196.850393700787,3218.503937007874,0,VIA_1MM_1.6MM,
J34,top,1529.4716141732283,3502.5590157480315,180,"0603+0.1""TH-VIA(1,1.6mm)x2",
LED_1_3,top,4606.299212598426,3832.48031496063,0,5050,
LED_0_1,top,3031.496062992126,3045.0787401574803,0,5050,
P216,top,3149.6062992125985,1771.6535433070867,0,BELIEVOTRON-PAD-CAP,
JP3,top,1968.5039370078741,700.0,0,VIA_1MM_1.6MM,
JP11,top,1968.5039370078741,1500.0,0,VIA_1MM_1.6MM,
C24,top,4920.275590551181,4662.40157480315,0,0603,
LED_0_7,top,7755.905511811024,3045.0787401574803,0,5050,
J30,top,539.3700787401575,3997.047244094488,0,"0603+0.1""TH-VIA(1,1.6mm)x2",
LED_2_5,top,6181.102362204724,4619.881889763779,0,5050,
LED_2_7,top,7755.905511811024,4619.881889763779,0,5050,
J106,top,3474.4094488188975,2853.3464566929133,0,VIA_1MM_1.6MM,
RP_0_1,top,3011.6062992125985,3543.3070866141734,270,Through Hole,
R33,top,8405.469448818898,3015.0,0,0603,10 kΩ
J110,top,6553.149606299213,2800.0,0,VIA_1MM_1.6MM,
RP_0_3,top,4586.4094488188975,3543.3070866141734,270,Through Hole,
C9,top,8036.417322834645,3099.1129921259844,270,0603,
J65,top,1531.1023622047244,3902.5590551181103,270,VIA_1MM_1.6MM,
RP_1_6,top,6948.614173228347,4330.708661417323,270,Through Hole,
C43,top,2080.497834645669,3226.78562992126,180,0603,
JP8,top,1968.5039370078741,1200.0,0,VIA_1MM_1.6MM,
C20,top,8061.023622047244,4665.354330708661,0,0603,
J15,top,2608.098818897638,4600.393700787402,0,"0603+0.1""TH-VIA(1,1.6mm)x2",
JP10,top,1968.5039370078741,1400.0,0,VIA_1MM_1.6MM,
LED_1_2,top,3818.8976377952754,3832.48031496063,0,5050,
J52,top,1931.2712598425196,3902.5590551181103,180,"0603+0.1""TH-VIA(1,1.6mm)x2",
C39,top,8425.435669291339,3354.3307086614172,180,0603,
U312,top,1825.7874015748032,4330.708661417323,90,SOIC 16,
J102,top,1028.0,1988.0,0,VIA_1MM_1.6MM,
C34,top,1054.1338582677165,939.580905511811,90,0603,
J54,top,1179.1058661417323,3375.0,180,"0603+0.1""TH-VIA(1,1.6mm)x2",
J33,top,1531.4121653543307,3702.5590157480315,0,"0603+0.1""TH-VIA(1,1.6mm)x2",
C47,top,2147.426968503937,3284.86405511811,0,0603,
LED_2_0,top,2244.0944881889764,4619.881889763779,0,5050,
J111,top,7355.0,2828.0,0,VIA_1MM_1.6MM,
P218,top,1574.8031496062993,2559.0551181102364,0,BELIEVOTRON-PAD-CAP,
C38,top,8196.456496062992,3851.4570472440946,0,0603,
LED_0_4,top,5393.700787401574,3045.0787401574803,0,5050,
J117,top,5822.834645669292,1562.007874015748,0,VIA_1MM_1.6MM,
R26,top,8174.620236220472,3959.6318897637793,90,0603,100.00 kΩ
J116,top,4990.0,1615.1574803149606,0,VIA_1MM_1.6MM,
J119,top,7332.0,1609.0,0,VIA_1MM_1.6MM,
LED_1_1,top,3031.496062992126,3832.48031496063,0,5050,
LED_1_5,top,6181.102362204724,3832.48031496063,0,5050,
J67,top,1331.1023622047244,3902.5590551181103,270,VIA_1MM_1.6MM,
C17,top,4911.417322834645,3875.787401574803,0,0603,
R28,top,8358.098858267716,3662.4015748031497,270,0603,100.00 kΩ
J17,top,1931.271220472441,4002.5590551181103,0,"0603+0.1""TH-VIA(1,1.6mm)x2",
J23,top,427.5590551181102,1187.4015748031495,270,"0603+0.1""TH-VIA(1,1.6mm)x2",
RP_1_2,top,3799.0078740157483,4330.708661417323,270,Through Hole,
J10,top,1047.762125984252,1331.1294881889764,90,"0603+0.1""TH-VIA(1,1.6mm)x2",
C35,top,1159.4867322834646,1394.1877559055117,270,0603,
J105,top,2542.3228346456694,2836.6141732283463,0,VIA_1MM_1.6MM,
J31,top,1529.4716141732283,3602.5590157480315,0,"0603+0.1""TH-VIA(1,1.6mm)x2",
U274,top,8273.622047244095,3469.488188976378,180,QFN20,
PC2_2,top,3937.0078740157483,2559.0551181102364,0,BELIEVOTRON-PAD-CAP,
J79,top,1181.1023622047244,4163.216968503937,270,"0603+0.1""TH-VIA(1,1.6mm)x2",
